id,name,expirationDate,price,stockCount
M001,Milk Base,2025-12-31,2.50,100
M002,Dairy Free Base,2025-12-31,3.50,50
F001,Strawberry Puree,2025-06-30,1.20,80
F002,Banana Puree,2025-05-30,1.00,70
F003,Chocolate Chunks,2026-01-15,1.50,60
F004,Vanilla Bean,2025-11-30,2.00,40
S001,Caramel Sauce,2025-10-15,1.80,50
S002,Chocolate Sauce,2025-10-15,1.80,50
S003,Strawberry Sauce,2025-09-30,1.80,45
S004,Maple Syrup,2025-12-31,2.20,30
D001,Sprinkles,2026-03-31,0.50,200
D002,Chocolate Chips,2026-02-28,0.60,180
D003,Chopped Nuts,2025-12-31,0.90,150
D004,Whipped Cream,2025-05-15,0.70,100
D005,Maraschino Cherry,2025-08-31,0.30,300
C001,Waffle Cone,2025-07-31,0.40,250
C002,Sugar Cone,2025-07-31,0.35,250
C003,Chocolate Dipped Cone,2025-06-30,0.85,100
